year,value,metric,iso_code
2015,55.1,Seconday Education rate (25 and older),LBY
2015,93.8,Seconday Education rate (25 and older),LTU
2015,100.0,Seconday Education rate (25 and older),LUX
2015,19.6,Seconday Education rate (25 and older),MWI
2015,73.2,Seconday Education rate (25 and older),MYS
2015,42.1,Seconday Education rate (25 and older),MDV
2015,11.5,Seconday Education rate (25 and older),MLI
2015,77.6,Seconday Education rate (25 and older),MLT
2015,92.1,Seconday Education rate (25 and older),MHL
2015,17.3,Seconday Education rate (25 and older),MRT
2015,62.6,Seconday Education rate (25 and older),MUS
2015,59.3,Seconday Education rate (25 and older),MEX
2015,96.2,Seconday Education rate (25 and older),MDA
2015,87.8,Seconday Education rate (25 and older),MNG
2015,90.7,Seconday Education rate (25 and older),MNE
2015,29.4,Seconday Education rate (25 and older),MAR
2015,16.8,Seconday Education rate (25 and older),MOZ
2015,23.8,Seconday Education rate (25 and older),MMR
2015,38.5,Seconday Education rate (25 and older),NAM
2015,32.0,Seconday Education rate (25 and older),NPL
2015,88.2,Seconday Education rate (25 and older),NLD
2015,98.9,Seconday Education rate (25 and older),NZL
2015,45.0,Seconday Education rate (25 and older),NIC
2015,6.1,Seconday Education rate (25 and older),NER
2015,47.8,Seconday Education rate (25 and older),MKD
2015,95.7,Seconday Education rate (25 and older),NOR
2015,58.8,Seconday Education rate (25 and older),OMN
2015,37.3,Seconday Education rate (25 and older),PAK
2015,60.4,Seconday Education rate (25 and older),PSE
2015,70.5,Seconday Education rate (25 and older),PAN
2015,11.7,Seconday Education rate (25 and older),PNG
2015,48.0,Seconday Education rate (25 and older),PRY
2015,62.2,Seconday Education rate (25 and older),PER
2015,71.6,Seconday Education rate (25 and older),PHL
2015,84.6,Seconday Education rate (25 and older),POL
2015,52.7,Seconday Education rate (25 and older),PRT
2015,67.9,Seconday Education rate (25 and older),QAT
2015,89.5,Seconday Education rate (25 and older),ROU
2015,95.6,Seconday Education rate (25 and older),RUS
2015,11.9,Seconday Education rate (25 and older),RWA
2015,45.2,Seconday Education rate (25 and older),LCA
2015,74.5,Seconday Education rate (25 and older),WSM
2015,37.7,Seconday Education rate (25 and older),STP
2015,67.3,Seconday Education rate (25 and older),SAU
2015,15.9,Seconday Education rate (25 and older),SEN
2015,88.6,Seconday Education rate (25 and older),SRB
2015,23.1,Seconday Education rate (25 and older),SLE
2015,79.4,Seconday Education rate (25 and older),SGP
2015,99.3,Seconday Education rate (25 and older),SVK
2015,98.1,Seconday Education rate (25 and older),SVN
2015,75.7,Seconday Education rate (25 and older),ZAF
2015,74.8,Seconday Education rate (25 and older),ESP
2015,80.5,Seconday Education rate (25 and older),LKA
2015,16.3,Seconday Education rate (25 and older),SDN
2015,57.6,Seconday Education rate (25 and older),SUR
2015,88.5,Seconday Education rate (25 and older),SWE
2015,96.8,Seconday Education rate (25 and older),CHE
2015,38.9,Seconday Education rate (25 and older),SYR
2015,93.9,Seconday Education rate (25 and older),TJK
2015,13.3,Seconday Education rate (25 and older),TZA
2015,43.3,Seconday Education rate (25 and older),THA
2015,37.6,Seconday Education rate (25 and older),TGO
2015,92.4,Seconday Education rate (25 and older),TON
