"Gross enrolment ratio, tertiary (% of tertiary school-age population)"
"Dimension: Education"
"SDG 4.3 By 2030, ensure equal access for all women and men to affordable and quality technical,vocational and tertiary education, including university"
"Definition: Total enrolment in a given level of education (pre-primary, primary, secondary or tertiary), regardless of age, expressed as a percentage of the official school-age population for the same level of education."
"Source: UNESCO (United Nations Educational, Scientific and Cultural Organization) Institute for Statistics (2020). Data Centre. http://data.uis.unesco.org. Accessed 21 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019","","2014-2019",""
"151"," Solomon Islands","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"185"," South Sudan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development","","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","41","","47","","..","","..","","..","","..","","..","","74","","75","","77","","79","","..","","..","","..","","77",""
" ","High human development","8","","..","","14","","23","","28","","30","","32","","34","","40","","43","","46","","..","","..","","..","","46",""
" ","Medium human development","5","","..","","9","","10","","..","","20","","21","","22","","..","","24","","..","","..","","..","","..","","24",""
" ","Low human development","..","","..","","..","","7","","8","","8","","..","","..","","..","","..","","..","","..","","..","","..","","8",""
" ","Developing Countries","7","","..","","12","","17","","23","","24","","27","","29","","32","","33","","..","","..","","..","","..","","33",""
"","Regions","","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","12","","..","","..","","22","","26","","25","","29","","31","","33","","35","","..","","..","","..","","..","","38",""
" ","East Asia and the Pacific","..","","..","","10","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","44",""
" ","Europe and Central Asia","27","","29","","..","","40","","48","","50","","53","","56","","57","","58","","63","","..","","..","","..","","..",""
" ","Latin America and the Caribbean","..","","..","","..","","..","","..","","..","","44","","..","","..","","48","","..","","..","","..","","..","","52",""
" ","South Asia","5","","..","","..","","10","","20","","21","","23","","24","","24","","..","","25","","24","","..","","..","","26",""
" ","Sub-Saharan Africa","..","","..","","..","","5","","7","","8","","..","","..","","..","","..","","..","","..","","..","","..","","9",""
" ","Least Developed Countries","3","","..","","..","","5","","..","","9","","9","","..","","..","","..","","..","","..","","..","","..","","11",""
" ","Organization for Economic Co-operation and Development","39","","46","","..","","..","","..","","..","","..","","70","","71","","73","","75","","..","","..","","..","","72",""
" ","World","14","","17","","17","","21","","26","","28","","31","","36","","38","","40","","41","","..","","..","","..","","39",""
"a: Data refer to the most recent year available during the period specified."
""
